id,Date,Ticker,Open,Close,High,Low,Volume
799,2025-06-23,GOOG,166.94,165.64,168.1,162.96,36975600
800,2025-06-24,GOOG,167.31,167.36,168.87,166.53,27310300
801,2025-06-25,GOOG,168.27,171.1,172.97,168.18,23627400
802,2025-06-26,GOOG,173.0,174.04,174.26,170.48,25909100
803,2025-06-27,GOOG,174.24,177.87,178.44,172.32,74053100
804,2025-06-30,GOOG,180.38,176.99,181.17,175.11,43964600
805,2025-07-01,GOOG,176.41,176.51,176.82,174.27,25778500
806,2025-07-02,GOOG,176.15,179.36,179.53,175.69,19325900
807,2025-07-03,GOOG,179.42,180.14,180.36,177.79,13287400
808,2025-07-07,GOOG,179.73,177.16,179.93,176.24,20991400
809,2025-07-08,GOOG,178.38,174.77,178.39,173.53,24108600
810,2025-07-09,GOOG,175.71,177.26,179.87,173.49,31288000
811,2025-07-10,GOOG,176.27,178.3,179.19,175.35,24693700
812,2025-07-11,GOOG,177.51,180.9,182.2,177.14,23975700
813,2025-07-14,GOOG,181.66,182.4,184.31,180.3,20990400
814,2025-07-15,GOOG,183.53,182.69,184.99,181.98,23911600
815,2025-07-16,GOOG,183.91,183.36,184.92,182.67,21152600
816,2025-07-17,GOOG,182.7,184.28,184.77,181.09,21654400
817,2025-07-18,GOOG,186.2,185.52,186.94,184.31,21033400
818,2025-07-21,GOOG,186.68,190.72,190.83,186.63,24665000
819,2025-07-22,GOOG,191.99,191.68,192.93,188.07,26212900
820,2025-07-23,GOOG,191.93,191.08,192.93,189.75,34068100
821,2025-07-24,GOOG,197.66,192.77,198.52,191.52,45252100
822,2025-07-25,GOOG,192.5,193.64,194.84,191.7,31101800
823,2025-07-28,GOOG,193.97,192.99,194.38,191.42,25553500
824,2025-07-29,GOOG,192.87,195.99,196.22,192.56,31891600
825,2025-07-30,GOOG,195.86,197.0,198.03,195.12,21150500
826,2025-07-31,GOOG,196.16,192.43,196.39,191.65,27852000
827,2025-08-01,GOOG,189.35,189.52,191.19,188.28,21236700
828,2025-08-04,GOOG,190.75,195.31,195.64,190.49,23386000
829,2025-08-05,GOOG,195.11,194.88,198.25,194.24,19010200
830,2025-08-06,GOOG,194.81,196.48,196.94,194.03,15383700
831,2025-08-07,GOOG,197.27,196.84,197.92,194.78,14660600
832,2025-08-08,GOOG,197.54,201.64,202.97,197.46,24379900
833,2025-08-11,GOOG,201.1,201.18,201.71,199.35,16690200
834,2025-08-12,GOOG,201.64,203.7,204.67,200.95,19854000
835,2025-08-13,GOOG,204.52,202.57,204.97,198.19,19573000
836,2025-08-14,GOOG,202.1,203.36,204.96,201.87,17777100
837,2025-08-15,GOOG,204.26,204.45,206.86,201.63,21111400
838,2025-08-18,GOOG,204.61,203.83,205.68,202.95,13000200
839,2025-08-19,GOOG,203.45,202.03,203.83,200.48,13476600
840,2025-08-20,GOOG,201.23,199.74,201.72,197.02,13971700
841,2025-08-21,GOOG,200.27,200.17,202.9,199.95,11768900
